location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Albania,27/05/2020,25,1,2877800,13.188,11803.431,2.89
Albania,28/05/2020,21,0,2877800,13.188,11803.431,2.89
Albania,29/05/2020,26,0,2877800,13.188,11803.431,2.89
Albania,30/05/2020,23,0,2877800,13.188,11803.431,2.89
Albania,31/05/2020,23,0,2877800,13.188,11803.431,2.89
Albania,01/06/2020,15,0,2877800,13.188,11803.431,2.89
Albania,02/06/2020,6,0,2877800,13.188,11803.431,2.89
Albania,03/06/2020,21,0,2877800,13.188,11803.431,2.89
Albania,04/06/2020,20,0,2877800,13.188,11803.431,2.89
Albania,05/06/2020,13,0,2877800,13.188,11803.431,2.89
Albania,06/06/2020,15,0,2877800,13.188,11803.431,2.89
Albania,07/06/2020,20,1,2877800,13.188,11803.431,2.89
Albania,08/06/2020,14,0,2877800,13.188,11803.431,2.89
Albania,09/06/2020,17,0,2877800,13.188,11803.431,2.89
Albania,10/06/2020,36,0,2877800,13.188,11803.431,2.89
Algeria,31/12/2019,0,0,43851043,6.211,13913.839,1.9
Algeria,01/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,02/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,03/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,04/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,05/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,06/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,07/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,08/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,09/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,10/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,11/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,12/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,13/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,14/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,15/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,16/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,17/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,18/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,19/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,20/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,21/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,22/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,23/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,24/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,25/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,26/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,27/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,28/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,29/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,30/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,31/01/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,01/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,02/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,03/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,04/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,05/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,06/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,07/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,08/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,09/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,10/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,11/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,12/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,13/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,14/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,15/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,16/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,17/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,18/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,19/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,20/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,21/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,22/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,23/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,24/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,25/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,26/02/2020,1,0,43851043,6.211,13913.839,1.9
Algeria,27/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,28/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,29/02/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,01/03/2020,2,0,43851043,6.211,13913.839,1.9
Algeria,02/03/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,04/03/2020,2,0,43851043,6.211,13913.839,1.9
Algeria,05/03/2020,7,0,43851043,6.211,13913.839,1.9
Algeria,06/03/2020,5,0,43851043,6.211,13913.839,1.9
Algeria,09/03/2020,3,0,43851043,6.211,13913.839,1.9
Algeria,12/03/2020,0,0,43851043,6.211,13913.839,1.9
Algeria,13/03/2020,5,1,43851043,6.211,13913.839,1.9
Algeria,14/03/2020,1,1,43851043,6.211,13913.839,1.9
Algeria,15/03/2020,11,0,43851043,6.211,13913.839,1.9
Algeria,16/03/2020,11,2,43851043,6.211,13913.839,1.9
Algeria,17/03/2020,10,0,43851043,6.211,13913.839,1.9
Algeria,18/03/2020,2,1,43851043,6.211,13913.839,1.9
Algeria,19/03/2020,12,1,43851043,6.211,13913.839,1.9
Algeria,20/03/2020,18,1,43851043,6.211,13913.839,1.9
Algeria,21/03/2020,12,3,43851043,6.211,13913.839,1.9
Algeria,22/03/2020,37,5,43851043,6.211,13913.839,1.9
Algeria,23/03/2020,62,2,43851043,6.211,13913.839,1.9
Algeria,24/03/2020,29,0,43851043,6.211,13913.839,1.9
Algeria,25/03/2020,34,2,43851043,6.211,13913.839,1.9
Algeria,26/03/2020,38,2,43851043,6.211,13913.839,1.9
Algeria,27/03/2020,65,4,43851043,6.211,13913.839,1.9
Algeria,28/03/2020,42,1,43851043,6.211,13913.839,1.9
Algeria,29/03/2020,45,3,43851043,6.211,13913.839,1.9
Algeria,30/03/2020,57,2,43851043,6.211,13913.839,1.9
Algeria,31/03/2020,73,4,43851043,6.211,13913.839,1.9
Algeria,01/04/2020,132,9,43851043,6.211,13913.839,1.9
Algeria,02/04/2020,131,14,43851043,6.211,13913.839,1.9
Algeria,03/04/2020,139,5,43851043,6.211,13913.839,1.9
